page_index,source_url,requested_url,result_count,screened_cards,eligible_items_added_total,min_year_on_page,max_year_on_page,content_type
76,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=76&error=cookies_not_supported&code=9a4d776a-8ebc-4aa2-a68a-d9b805663bb7,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=76,20,20,592,2020,2021,"text/html; charset=""UTF-8"""
77,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=77&error=cookies_not_supported&code=70ab71b0-6645-4cf6-abb5-f919b7be3d38,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=77,20,20,593,2020,2020,"text/html; charset=""UTF-8"""
78,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=78&error=cookies_not_supported&code=c858d59f-687d-42a2-b42e-ab4be74b2cec,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=78,20,20,593,2020,2020,"text/html; charset=""UTF-8"""
79,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=79&error=cookies_not_supported&code=05b757b9-9c2e-4749-b163-5abc18e7b33d,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=79,20,20,593,2020,2020,"text/html; charset=""UTF-8"""
80,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=80&error=cookies_not_supported&code=f829846c-7df4-47a4-a6b9-0060d6386774,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=80,20,20,593,2020,2020,"text/html; charset=""UTF-8"""
81,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=81&error=cookies_not_supported&code=ade6af20-d04f-41d3-b5a1-56100173906b,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=81,20,20,594,2020,2020,"text/html; charset=""UTF-8"""
82,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=82&error=cookies_not_supported&code=d2a8a05f-417a-488a-900f-d266fd0d700c,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=82,20,20,595,2020,2020,"text/html; charset=""UTF-8"""
83,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=83&error=cookies_not_supported&code=b7dda21b-5f12-4cc7-8081-ee129c23e4c5,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=83,20,20,596,2020,2020,"text/html; charset=""UTF-8"""
84,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=84&error=cookies_not_supported&code=b9292e18-4ff4-4800-baf5-eca84182c2a0,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=84,20,20,596,2020,2020,"text/html; charset=""UTF-8"""
85,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=85&error=cookies_not_supported&code=b7abcf74-6e1d-41e7-81cc-590b85eafa73,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=85,20,20,596,2020,2020,"text/html; charset=""UTF-8"""
