source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
The European Physical Journal C,epj_c_1988_v40_i3,journal_issue,1988,1988-09-01,"vol. 40, issue 3",https://doi.org/10.1007/bf01548856,17
The European Physical Journal C,epj_c_1988_v40_i4,journal_issue,1988,1988-12-01,"vol. 40, issue 4",https://doi.org/10.1007/bf01560232,19
The European Physical Journal C,epj_c_1988_v41_i1,journal_issue,1988,1988-03-01,"vol. 41, issue 1",https://doi.org/10.1007/bf01412589,21
The European Physical Journal C,epj_c_1988_v41_i2,journal_issue,1988,1988-06-01,"vol. 41, issue 2",https://doi.org/10.1007/bf01566931,23
The European Physical Journal C,epj_c_1988_v41_i3,journal_issue,1988,1988-09-01,"vol. 41, issue 3",https://doi.org/10.1007/bf01585633,21
The European Physical Journal C,epj_c_1989_v41_i4,journal_issue,1989,1989-12-01,"vol. 41, issue 4",https://doi.org/10.1007/bf01564701,21
The European Physical Journal C,epj_c_1989_v42_i1,journal_issue,1989,1989-03-01,"vol. 42, issue 1",https://doi.org/10.1007/bf01565139,17
The European Physical Journal C,epj_c_1989_v42_i2,journal_issue,1989,1989-06-01,"vol. 42, issue 2",https://doi.org/10.1007/bf01555875,25
The European Physical Journal C,epj_c_1989_v42_i3,journal_issue,1989,1989-01-01,"vol. 42, issue 3",https://istina.msu.ru/publications/article/11902452/,21
The European Physical Journal C,epj_c_1989_v42_i4,journal_issue,1989,1989-12-01,"vol. 42, issue 4",https://doi.org/10.1007/bf01557663,23
The European Physical Journal C,epj_c_1989_v43_i1,journal_issue,1989,1989-03-01,"vol. 43, issue 1",https://doi.org/10.1007/bf02430617,19
The European Physical Journal C,epj_c_1989_v43_i2,journal_issue,1989,1989-06-01,"vol. 43, issue 2",https://doi.org/10.1007/bf01588212,19
The European Physical Journal C,epj_c_1989_v43_i3,journal_issue,1989,1989-09-01,"vol. 43, issue 3",https://doi.org/10.1007/bf01506531,25
The European Physical Journal C,epj_c_1989_v43_i4,journal_issue,1989,1989-12-01,"vol. 43, issue 4",https://doi.org/10.1007/bf01550942,23
The European Physical Journal C,epj_c_1989_v44_i1,journal_issue,1989,1989-03-01,"vol. 44, issue 1",https://doi.org/10.1007/bf01548594,15
The European Physical Journal C,epj_c_1989_v44_i2,journal_issue,1989,1989-06-01,"vol. 44, issue 2",https://doi.org/10.1007/bf01557341,22
The European Physical Journal C,epj_c_1989_v44_i3,journal_issue,1989,1989-09-01,"vol. 44, issue 3",https://doi.org/10.1007/bf01415558,21
The European Physical Journal C,epj_c_1989_v44_i4,journal_issue,1989,1989-12-01,"vol. 44, issue 4",https://doi.org/10.1007/bf01549080,17
The European Physical Journal C,epj_c_1989_v45_i1,journal_issue,1989,1989-03-01,"vol. 45, issue 1",https://doi.org/10.1007/bf01556677,19
The European Physical Journal C,epj_c_1989_v45_i2,journal_issue,1989,1989-06-01,"vol. 45, issue 2",https://doi.org/10.1007/bf01674450,20
The European Physical Journal C,epj_c_1990_v45_i3,journal_issue,1990,1990-09-01,"vol. 45, issue 3",https://doi.org/10.1007/bf01549665,22
The European Physical Journal C,epj_c_1990_v45_i4,journal_issue,1990,1990-12-01,"vol. 45, issue 4",https://doi.org/10.1007/bf01556280,19
